facet_raw,facet_normalized,category,conversation_observable,sensitivity,abstention_reason,scoring_anchors
Risktaking,Risktaking,personality_trait,True,low,,"1=Very low Risktaking, or the opposite trait is expressed; 3=Moderate/average Risktaking; 5=Very high Risktaking clearly expressed in the conversation."
Naivety,Naivety,personality_trait,True,low,,"1=Very low Naivety, or the opposite trait is expressed; 3=Moderate/average Naivety; 5=Very high Naivety clearly expressed in the conversation."
Acidity,Acidity,personality_trait,True,low,,"1=Very low Acidity, or the opposite trait is expressed; 3=Moderate/average Acidity; 5=Very high Acidity clearly expressed in the conversation."
Democratic Leadership:,Democratic Leadership,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Common-sense,Common-sense,personality_trait,True,low,,"1=Very low Common-sense, or the opposite trait is expressed; 3=Moderate/average Common-sense; 5=Very high Common-sense clearly expressed in the conversation."
Hesitation,Hesitation,personality_trait,True,low,,"1=Very low Hesitation, or the opposite trait is expressed; 3=Moderate/average Hesitation; 5=Very high Hesitation clearly expressed in the conversation."
Discontentment,Discontentment,personality_trait,True,low,,"1=Very low Discontentment, or the opposite trait is expressed; 3=Moderate/average Discontentment; 5=Very high Discontentment clearly expressed in the conversation."
Overprotectiveness,Overprotectiveness,personality_trait,True,low,,"1=Very low Overprotectiveness, or the opposite trait is expressed; 3=Moderate/average Overprotectiveness; 5=Very high Overprotectiveness clearly expressed in the conversation."
Merriness,Merriness,personality_trait,True,low,,"1=Very low Merriness, or the opposite trait is expressed; 3=Moderate/average Merriness; 5=Very high Merriness clearly expressed in the conversation."
Emotionalism,Emotionalism,personality_trait,True,low,,"1=Very low Emotionalism, or the opposite trait is expressed; 3=Moderate/average Emotionalism; 5=Very high Emotionalism clearly expressed in the conversation."
Self-improvement,Self-improvement,personality_trait,True,low,,"1=Very low Self-improvement, or the opposite trait is expressed; 3=Moderate/average Self-improvement; 5=Very high Self-improvement clearly expressed in the conversation."
Statistical Reasoning,Statistical Reasoning,cognitive_ability,True,low,,"1=No evidence of Statistical Reasoning in the conversation; 3=Average/typical evidence of Statistical Reasoning; 5=Strong, clear evidence of high Statistical Reasoning demonstrated in the person's reasoning or language."
Assertiveness and control in relationships,Assertiveness and control in relationships,personality_trait,True,low,,"1=Very low Assertiveness and control in relationships, or the opposite trait is expressed; 3=Moderate/average Assertiveness and control in relationships; 5=Very high Assertiveness and control in relationships clearly expressed in the conversation."
Cunningness,Cunningness,personality_trait,True,low,,"1=Very low Cunningness, or the opposite trait is expressed; 3=Moderate/average Cunningness; 5=Very high Cunningness clearly expressed in the conversation."
Adventure-Seeking Behavior,Adventure-Seeking Behavior,behavioral_tendency,True,low,,"1=No indication of Adventure-Seeking Behavior in what the person says or describes; 3=Occasional or moderate indication of Adventure-Seeking Behavior; 5=Strong, repeated indication of Adventure-Seeking Behavior in the described behavior."
Compassion Fatigue,Compassion Fatigue,personality_trait,True,low,,"1=Very low Compassion Fatigue, or the opposite trait is expressed; 3=Moderate/average Compassion Fatigue; 5=Very high Compassion Fatigue clearly expressed in the conversation."
Moroseness,Moroseness,personality_trait,True,low,,"1=Very low Moroseness, or the opposite trait is expressed; 3=Moderate/average Moroseness; 5=Very high Moroseness clearly expressed in the conversation."
Specialist,Specialist,personality_trait,True,low,,"1=Very low Specialist, or the opposite trait is expressed; 3=Moderate/average Specialist; 5=Very high Specialist clearly expressed in the conversation."
Aloofness,Aloofness,personality_trait,True,low,,"1=Very low Aloofness, or the opposite trait is expressed; 3=Moderate/average Aloofness; 5=Very high Aloofness clearly expressed in the conversation."
Genuine,Genuine,personality_trait,True,low,,"1=Very low Genuine, or the opposite trait is expressed; 3=Moderate/average Genuine; 5=Very high Genuine clearly expressed in the conversation."
Determinedness,Determinedness,personality_trait,True,low,,"1=Very low Determinedness, or the opposite trait is expressed; 3=Moderate/average Determinedness; 5=Very high Determinedness clearly expressed in the conversation."
HonestyHumility:,HonestyHumility,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Relationship Building Themes:,Relationship Building Themes,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Pure Challenge,Pure Challenge,personality_trait,True,low,,"1=Very low Pure Challenge, or the opposite trait is expressed; 3=Moderate/average Pure Challenge; 5=Very high Pure Challenge clearly expressed in the conversation."
Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Openness,Openness,personality_trait,True,low,,"1=Very low Openness, or the opposite trait is expressed; 3=Moderate/average Openness; 5=Very high Openness clearly expressed in the conversation."
SelfEsteem,SelfEsteem,personality_trait,True,low,,"1=Very low SelfEsteem, or the opposite trait is expressed; 3=Moderate/average SelfEsteem; 5=Very high SelfEsteem clearly expressed in the conversation."
Comparing alphanumeric data,Comparing alphanumeric data,personality_trait,True,low,,"1=Very low Comparing alphanumeric data, or the opposite trait is expressed; 3=Moderate/average Comparing alphanumeric data; 5=Very high Comparing alphanumeric data clearly expressed in the conversation."
Big-heartedness,Big-heartedness,personality_trait,True,low,,"1=Very low Big-heartedness, or the opposite trait is expressed; 3=Moderate/average Big-heartedness; 5=Very high Big-heartedness clearly expressed in the conversation."
Compulsive activities,Compulsive activities,behavioral_tendency,True,low,,"1=No indication of Compulsive activities in what the person says or describes; 3=Occasional or moderate indication of Compulsive activities; 5=Strong, repeated indication of Compulsive activities in the described behavior."
Disrespect,Disrespect,personality_trait,True,low,,"1=Very low Disrespect, or the opposite trait is expressed; 3=Moderate/average Disrespect; 5=Very high Disrespect clearly expressed in the conversation."
FSH level,FSH level,medical_biological,False,high,"Requires a clinical measurement, lab test, or diagnosis record; cannot be responsibly inferred from conversational text alone.",
Self Perspective,Self Perspective,personality_trait,True,low,,"1=Very low Self Perspective, or the opposite trait is expressed; 3=Moderate/average Self Perspective; 5=Very high Self Perspective clearly expressed in the conversation."
Desperation,Desperation,personality_trait,True,low,,"1=Very low Desperation, or the opposite trait is expressed; 3=Moderate/average Desperation; 5=Very high Desperation clearly expressed in the conversation."
Affiliation Motivation:,Affiliation Motivation,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Anatomy knowledge,Anatomy knowledge,personality_trait,True,low,,"1=Very low Anatomy knowledge, or the opposite trait is expressed; 3=Moderate/average Anatomy knowledge; 5=Very high Anatomy knowledge clearly expressed in the conversation."
Passive-Aggressive,Passive-Aggressive,personality_trait,True,low,,"1=Very low Passive-Aggressive, or the opposite trait is expressed; 3=Moderate/average Passive-Aggressive; 5=Very high Passive-Aggressive clearly expressed in the conversation."
Presence of Spiritual Pain,Presence of Spiritual Pain,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Structure,Structure,personality_trait,True,low,,"1=Very low Structure, or the opposite trait is expressed; 3=Moderate/average Structure; 5=Very high Structure clearly expressed in the conversation."
Eco-tourism trips,Eco-tourism trips,personality_trait,True,low,,"1=Very low Eco-tourism trips, or the opposite trait is expressed; 3=Moderate/average Eco-tourism trips; 5=Very high Eco-tourism trips clearly expressed in the conversation."
Chivalrousness,Chivalrousness,personality_trait,True,low,,"1=Very low Chivalrousness, or the opposite trait is expressed; 3=Moderate/average Chivalrousness; 5=Very high Chivalrousness clearly expressed in the conversation."
Pilgrimage participation count,Pilgrimage participation count,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Mindfulness facet: Observing,Mindfulness facet: Observing,personality_trait,True,low,,"1=Very low Mindfulness facet: Observing, or the opposite trait is expressed; 3=Moderate/average Mindfulness facet: Observing; 5=Very high Mindfulness facet: Observing clearly expressed in the conversation."
Submissiveness,Submissiveness,medical_biological,False,high,"Requires a clinical measurement, lab test, or diagnosis record; cannot be responsibly inferred from conversational text alone.",
Training-cycle length,Training-cycle length,personality_trait,True,low,,"1=Very low Training-cycle length, or the opposite trait is expressed; 3=Moderate/average Training-cycle length; 5=Very high Training-cycle length clearly expressed in the conversation."
Sensitiveness,Sensitiveness,personality_trait,True,low,,"1=Very low Sensitiveness, or the opposite trait is expressed; 3=Moderate/average Sensitiveness; 5=Very high Sensitiveness clearly expressed in the conversation."
Negative Affect Frequency,Negative Affect Frequency,personality_trait,True,low,,"1=Very low Negative Affect Frequency, or the opposite trait is expressed; 3=Moderate/average Negative Affect Frequency; 5=Very high Negative Affect Frequency clearly expressed in the conversation."
Innovation and Creativity Components:,Innovation and Creativity Components,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Achievement Motivation:,Achievement Motivation,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Feedback-giving frequency,Feedback-giving frequency,personality_trait,True,low,,"1=Very low Feedback-giving frequency, or the opposite trait is expressed; 3=Moderate/average Feedback-giving frequency; 5=Very high Feedback-giving frequency clearly expressed in the conversation."
Dance-cardio sessions,Dance-cardio sessions,personality_trait,True,low,,"1=Very low Dance-cardio sessions, or the opposite trait is expressed; 3=Moderate/average Dance-cardio sessions; 5=Very high Dance-cardio sessions clearly expressed in the conversation."
Enthusiasm,Enthusiasm,personality_trait,True,low,,"1=Very low Enthusiasm, or the opposite trait is expressed; 3=Moderate/average Enthusiasm; 5=Very high Enthusiasm clearly expressed in the conversation."
Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency,behavioral_tendency,True,low,,"1=No indication of Psychological construct: Social Desirability tendency in what the person says or describes; 3=Occasional or moderate indication of Psychological construct: Social Desirability tendency; 5=Strong, repeated indication of Psychological construct: Social Desirability tendency in the described behavior."
Inattentiveness,Inattentiveness,personality_trait,True,low,,"1=Very low Inattentiveness, or the opposite trait is expressed; 3=Moderate/average Inattentiveness; 5=Very high Inattentiveness clearly expressed in the conversation."
Unassertiveness,Unassertiveness,personality_trait,True,low,,"1=Very low Unassertiveness, or the opposite trait is expressed; 3=Moderate/average Unassertiveness; 5=Very high Unassertiveness clearly expressed in the conversation."
Decision-making decisiveness,Decision-making decisiveness,personality_trait,True,low,,"1=Very low Decision-making decisiveness, or the opposite trait is expressed; 3=Moderate/average Decision-making decisiveness; 5=Very high Decision-making decisiveness clearly expressed in the conversation."
Sense-of-coherence score,Sense-of-coherence score,personality_trait,True,low,,"1=Very low Sense-of-coherence score, or the opposite trait is expressed; 3=Moderate/average Sense-of-coherence score; 5=Very high Sense-of-coherence score clearly expressed in the conversation."
Justice-mindedness,Justice-mindedness,personality_trait,True,low,,"1=Very low Justice-mindedness, or the opposite trait is expressed; 3=Moderate/average Justice-mindedness; 5=Very high Justice-mindedness clearly expressed in the conversation."
Subscription count,Subscription count,social_demographic,False,low,"Requires a factual/demographic record (counts, logs, official data) rather than something inferable from conversational tone or content.",
Depression Symptoms,Depression Symptoms,personality_trait,True,low,,"1=Very low Depression Symptoms, or the opposite trait is expressed; 3=Moderate/average Depression Symptoms; 5=Very high Depression Symptoms clearly expressed in the conversation."
Spatial perception,Spatial perception,personality_trait,True,low,,"1=Very low Spatial perception, or the opposite trait is expressed; 3=Moderate/average Spatial perception; 5=Very high Spatial perception clearly expressed in the conversation."
Brevity,Brevity,personality_trait,True,low,,"1=Very low Brevity, or the opposite trait is expressed; 3=Moderate/average Brevity; 5=Very high Brevity clearly expressed in the conversation."
Orderliness,Orderliness,personality_trait,True,low,,"1=Very low Orderliness, or the opposite trait is expressed; 3=Moderate/average Orderliness; 5=Very high Orderliness clearly expressed in the conversation."
